,ZenodoOpenAlex_ID,PersonOpenAlex_ID,PersonName,PersonOrcid
377,W4393785040,A5042127936,Sebastian Mathea,0000-0001-8500-4569
378,W4393785040,A5081790435,Kathryn Hatch,0000-0002-0680-3491
379,W4393785040,A5011173483,Andrés Leschziner,0000-0002-7732-7023
380,W4393785040,A5021023250,Samara Reck‐Peterson,0000-0002-1553-465X
381,W4393785040,A5088907609,Sebastian Knapp,0000-0003-0025-3430
382,,,nan,
383,,,nan,
384,,,nan,
385,,,nan,
386,W4393440895,A5014185718,Aubrey Schonhoff,0000-0002-1801-1125
387,,,nan,
388,W4393521917,A5071278272,Andrew West,0000-0002-3034-4061
389,W4393521917,A5109698060,Roger Liddle,
390,W4393521917,A5072554284,Arpine Sokratian,0000-0001-6654-5773
391,W4393521917,A5024539060,Katherine Chavez,0000-0001-8952-385X
392,W4393521917,A5026190664,Rashmi Chandra,0000-0001-9591-8997
393,W4393814874,A5094341579,Cai Waijiao,
394,W4393814874,A5105473264,Wakamatsu Kazumasa,
395,W4393814874,A5112055476,Anna Fabio,
396,W4393814874,A5029957920,Kai Yang,0000-0001-6260-1192
397,W4393814874,A5094351093,Mohamadzadehonarvar Niyaz,
398,W4393814874,A5020152429,Pranay Srivastava,0000-0002-9289-2696
399,W4393814874,A5112188464,Hitomi Tanaka,
400,W4393814874,A5109698585,Holly Gabriel,
401,W4393814874,A5094351094,Casella Luigi,
402,W4393814874,A5065973944,Shosuke Ito,0000-0001-9182-5144
403,W4393814874,A5094351092,Zecca Luigi,
404,W4393814874,A5012470875,Xiqun Chen,0000-0001-8582-8891
405,W4393597853,A5064216415,Dmitry Ovchinnikov,0000-0001-9603-8385
406,,,nan,
407,W4393569782,A5028861095,Shanlin Rao,0000-0003-4892-5523
408,W4393569782,A5059945365,Gerhard Hummer,0000-0001-7768-746X
409,W4393683470,A5038944590,Hanqin Li,0000-0001-7995-1084
410,W4393683470,A5000495585,Oriol Busquets,0000-0002-1372-9699
